Region_Geografica,Acceso_Servicios_Financieros,Tiempo_Pago_Horas,Uso_Tecnologia_Movil,Ingresos_Mensuales,Preferencia_Pago,Tenencia_Telefono_Celular,Edad,Nivel_Educativo,Frecuencia_Transacciones,Costo_Transporte_Pago,Numero_Cuentas_Bancarias,Satisfaccion_Servicios_Financieros,Sucursales_10KM
Comuna 10,Cuenta Bancaria,6.44,Bajo,1257638,Digital,Sí,26,Primaria,40,12997.37,1,Muy Insatisfecho,0
Comuna 8,Sin Acceso,4.58,Alto,1938339,Presencial,Sí,57,Secundaria,11,11360.41,0,Muy Insatisfecho,0
Comuna 8,Billetera Movil,3.65,Bajo,2649547,Presencial,No,38,Secundaria,42,7965.94,2,Insatisfecho,3
Comuna 10,Billetera Movil,0.88,Bajo,2240228,Digital,Sí,42,Universitario,18,2847.92,3,Neutral,2
Comuna 13,Sin Acceso,5.62,Alto,525802,Digital,No,67,Técnico,11,15654.35,3,Muy Satisfecho,0
Comuna 13,Billetera Movil,5.75,Medio,954772,Digital,Sí,53,Universitario,26,16527.71,2,Neutral,3
Comuna 10,Billetera Movil,6.22,Bajo,617984,Digital,Sí,30,Técnico,18,13081.5,2,Satisfecho,0
Comuna 10,Sin Acceso,1.01,Alto,924062,Digital,Sí,35,Secundaria,5,15441.18,0,Muy Satisfecho,1
Comuna 13,Billetera Movil,3.07,Medio,2384083,Presencial,No,52,Secundaria,15,6897.37,0,Muy Insatisfecho,1
Zona Rural,Sin Acceso,2.91,Alto,559411,Digital,No,46,Secundaria,41,11647.49,3,Satisfecho,0
Comuna 8,Cuenta Bancaria,2.76,Medio,792828,Digital,No,23,Secundaria,34,17657.15,2,Insatisfecho,1
Comuna 5,Sin Acceso,2.29,Alto,952994,Digital,No,21,Universitario,29,19676.76,1,Satisfecho,1
Comuna 13,Billetera Movil,2.04,Alto,2456011,Presencial,No,54,Secundaria,14,17057.87,2,Muy Satisfecho,0
Comuna 10,Sin Acceso,3.57,Medio,2914871,Digital,No,43,Técnico,21,6866.89,3,Insatisfecho,0
Comuna 5,Cuenta Bancaria,1.8,Medio,1921684,Presencial,No,45,Universitario,26,15049.04,2,Muy Satisfecho,0
Comuna 10,Sin Acceso,7.93,Medio,902196,Digital,No,25,Secundaria,40,14073.73,0,Muy Satisfecho,3
Comuna 10,Sin Acceso,0.81,Bajo,1133282,Digital,No,42,Primaria,13,9512.08,0,Insatisfecho,3
Comuna 10,Billetera Movil,5.63,Bajo,2250239,Presencial,No,29,Secundaria,28,12223.0,0,Insatisfecho,0
Comuna 5,Cuenta Bancaria,7.48,Medio,2156262,Digital,Sí,23,Secundaria,33,19671.91,0,Insatisfecho,0
Comuna 5,Cuenta Bancaria,0.86,Bajo,1730452,Presencial,No,45,Universitario,49,13353.34,3,Muy Satisfecho,0
Comuna 10,Cuenta Bancaria,0.66,Bajo,1174538,Presencial,No,67,Primaria,29,2199.6,1,Neutral,0
Comuna 8,Cuenta Bancaria,0.97,Medio,2894799,Digital,Sí,20,Técnico,10,3330.62,2,Muy Insatisfecho,0
Comuna 5,Cuenta Bancaria,3.0,Bajo,2221194,Digital,No,70,Primaria,37,5727.56,3,Neutral,1
Comuna 13,Billetera Movil,0.88,Medio,1978517,Digital,Sí,43,Universitario,19,12991.91,1,Muy Satisfecho,0
Comuna 13,Sin Acceso,7.54,Bajo,1176378,Digital,No,25,Técnico,44,2433.84,3,Muy Insatisfecho,0
Comuna 13,Cuenta Bancaria,5.85,Bajo,1715738,Presencial,Sí,37,Técnico,13,1766.63,1,Muy Insatisfecho,2
Comuna 5,Sin Acceso,5.59,Alto,2922850,Digital,No,54,Universitario,37,9164.28,2,Insatisfecho,0
Comuna 13,Cuenta Bancaria,3.11,Alto,1528667,Presencial,No,54,Primaria,29,17165.24,3,Muy Insatisfecho,0
Comuna 10,Sin Acceso,5.64,Alto,783450,Presencial,Sí,65,Primaria,34,8288.7,3,Neutral,0
Comuna 5,Cuenta Bancaria,7.75,Alto,1761795,Presencial,No,21,Primaria,14,8090.91,3,Satisfecho,0
Zona Rural,Sin Acceso,3.8,Medio,951371,Digital,No,27,Universitario,26,13881.64,1,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,4.12,Medio,2327444,Digital,Sí,42,Primaria,28,19479.95,1,Insatisfecho,1
Comuna 5,Sin Acceso,5.08,Bajo,705177,Digital,Sí,61,Secundaria,27,16695.37,1,Muy Insatisfecho,0
Comuna 8,Sin Acceso,6.75,Medio,2332449,Presencial,No,58,Técnico,30,5300.29,0,Muy Satisfecho,0
Comuna 13,Sin Acceso,1.65,Alto,2552611,Digital,Sí,20,Primaria,7,7107.34,0,Muy Satisfecho,0
Comuna 13,Sin Acceso,6.99,Alto,1533638,Presencial,Sí,21,Universitario,41,17962.46,3,Insatisfecho,3
Comuna 10,Sin Acceso,7.09,Bajo,677586,Digital,No,52,Universitario,9,1241.23,1,Muy Satisfecho,3
Comuna 5,Sin Acceso,0.85,Alto,2267664,Digital,No,27,Primaria,46,10589.9,1,Satisfecho,0
Zona Rural,Sin Acceso,4.7,Medio,1009289,Digital,No,31,Universitario,27,14275.73,1,Muy Satisfecho,1
Comuna 13,Sin Acceso,4.71,Bajo,2709532,Digital,No,61,Universitario,25,10061.3,0,Satisfecho,1
Comuna 5,Sin Acceso,2.14,Alto,639089,Presencial,Sí,45,Técnico,17,14157.24,2,Muy Satisfecho,1
Comuna 5,Cuenta Bancaria,5.29,Alto,1343279,Digital,No,37,Secundaria,17,1040.73,2,Satisfecho,0
Comuna 10,Cuenta Bancaria,5.43,Medio,771385,Presencial,Sí,29,Técnico,25,10090.65,3,Insatisfecho,2
Comuna 5,Sin Acceso,3.89,Alto,1637799,Digital,No,69,Secundaria,20,3675.73,1,Muy Insatisfecho,1
Comuna 10,Billetera Movil,1.18,Bajo,2129433,Presencial,Sí,33,Universitario,7,17896.17,1,Muy Satisfecho,1
Comuna 8,Cuenta Bancaria,3.99,Medio,1784810,Digital,No,27,Técnico,7,4988.72,3,Neutral,2
Comuna 5,Cuenta Bancaria,0.63,Alto,1743802,Digital,Sí,65,Primaria,30,17378.64,2,Muy Satisfecho,0
Comuna 10,Billetera Movil,1.76,Bajo,1632603,Digital,No,45,Técnico,10,15845.2,1,Insatisfecho,0
Comuna 8,Cuenta Bancaria,7.66,Medio,2948163,Digital,Sí,56,Primaria,14,18427.9,2,Insatisfecho,0
Comuna 8,Cuenta Bancaria,5.88,Bajo,1234600,Digital,Sí,52,Secundaria,11,1520.2,3,Insatisfecho,0
Comuna 8,Cuenta Bancaria,6.92,Medio,1462698,Presencial,No,60,Primaria,11,9876.78,3,Neutral,0
Comuna 13,Billetera Movil,4.56,Medio,807441,Digital,No,68,Técnico,26,8056.77,0,Neutral,0
Comuna 5,Cuenta Bancaria,5.57,Alto,848533,Presencial,No,61,Secundaria,28,14602.76,2,Insatisfecho,0
Zona Rural,Cuenta Bancaria,5.01,Medio,2431960,Digital,Sí,67,Universitario,21,16453.18,0,Neutral,0
Comuna 10,Cuenta Bancaria,2.85,Bajo,2117545,Digital,Sí,49,Primaria,36,7917.29,2,Muy Satisfecho,1
Comuna 13,Sin Acceso,5.68,Alto,1186452,Digital,Sí,28,Primaria,35,12659.57,0,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,4.95,Alto,2407466,Digital,Sí,21,Técnico,3,10853.37,2,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,2.79,Medio,2895657,Presencial,No,58,Secundaria,45,6915.47,3,Neutral,0
Comuna 5,Cuenta Bancaria,6.4,Bajo,984832,Digital,Sí,47,Universitario,21,2619.85,1,Neutral,1
Zona Rural,Sin Acceso,7.02,Medio,2810884,Presencial,No,55,Primaria,24,3034.54,0,Neutral,1
Comuna 5,Billetera Movil,1.8,Bajo,1863428,Presencial,Sí,29,Primaria,20,2583.74,2,Muy Insatisfecho,0
Comuna 13,Sin Acceso,6.0,Bajo,2764542,Presencial,No,41,Técnico,48,11873.4,3,Muy Insatisfecho,3
Zona Rural,Cuenta Bancaria,7.91,Bajo,2994572,Digital,No,27,Universitario,34,5208.37,3,Insatisfecho,1
Comuna 13,Sin Acceso,4.32,Medio,1482016,Presencial,Sí,24,Universitario,9,6760.48,1,Muy Satisfecho,2
Comuna 8,Cuenta Bancaria,3.65,Alto,568688,Digital,No,60,Secundaria,7,14634.49,1,Neutral,0
Zona Rural,Billetera Movil,4.06,Alto,2658777,Presencial,Sí,29,Técnico,35,9539.79,0,Muy Insatisfecho,1
Comuna 13,Cuenta Bancaria,4.22,Medio,1796131,Digital,No,34,Secundaria,43,19571.93,0,Muy Insatisfecho,0
Zona Rural,Billetera Movil,4.29,Bajo,1408300,Presencial,No,48,Primaria,1,7428.87,1,Muy Insatisfecho,1
Comuna 8,Billetera Movil,7.72,Medio,1845705,Digital,Sí,61,Universitario,39,3271.86,3,Satisfecho,0
Comuna 10,Cuenta Bancaria,1.68,Alto,999723,Presencial,No,65,Primaria,2,1594.27,0,Insatisfecho,0
